EN,EM,Description,Composition strategy,Attribute
big tipper,🪙🪙,"[':coin:', ':coin:']",Reduplication,GENEROSITY
big tipper,🤑👨‍🦰💰,"[':money-mouth_face:', ':man_red_hair:', ':money_bag:']",Metaphorical,GENEROSITY
big tipper,💵💵,"[':dollar_banknote:', ':dollar_banknote:']",Reduplication,GENEROSITY
big tipper,💸💸💸,"[':money_with_wings:', ':money_with_wings:', ':money_with_wings:']",Reduplication,GENEROSITY
big tipper,👍💸,"[':thumbs_up:', ':money_with_wings:']",Metaphorical,GENEROSITY
big day,❗📆,"[':red_exclamation_mark:', ':tear-off_calendar:']",Direct,IMPORTANCE
big day,👰💒🤵‍♂,"[':person_with_veil:', ':wedding:', ':man_in_tuxedo:']",Metaphorical,IMPORTANCE
big day,👩‍❤️‍👨👰,"[':couple_with_heart_woman_man:', ':person_with_veil:']",Metaphorical,IMPORTANCE
big day,😰☀️,"[':anxious_face_with_sweat:', ':sun:']",Metaphorical,IMPORTANCE
big day,👰‍♂️👰‍♀️🤵‍♂️🤵‍♀️,"[':man_with_veil:', ':woman_with_veil:', ':man_in_tuxedo:', ':woman_in_tuxedo:']",Metaphorical,IMPORTANCE
big day,🥇☀️,"[':1st_place_medal:', ':sun:']",Metaphorical,IMPORTANCE
big day,😵😵😵,"[':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:']",Metaphorical,IMPORTANCE
big day,🗓️,[':spiral_calendar:'],Single,IMPORTANCE
hot doll,🥵👧,"[':hot_face:', ':girl:']",Direct,POPULARITY
hot doll,🪆🔥🔥,"[':nesting_dolls:', ':fire:', ':fire:']",Direct,POPULARITY
hot doll,💅👱‍♀️,"[':nail_polish:', ':woman_blond_hair:']",Metaphorical,POPULARITY
hot doll,🔥🪆,"[':fire:', ':nesting_dolls:']",Direct,POPULARITY
hot doll,1️⃣🪆🎎,"[':keycap_1:', ':nesting_dolls:', ':Japanese_dolls:']",Metaphorical,POPULARITY
hot doll,🔥🧸,"[':fire:', ':teddy_bear:']",Direct,POPULARITY
hot doll,♨️🪆,"[':hot_springs:', ':nesting_dolls:']",Direct,POPULARITY
hot doll,🥵🧸,"[':hot_face:', ':teddy_bear:']",Direct,POPULARITY
hot water,♨️💦,"[':hot_springs:', ':sweat_droplets:']",Direct,TEMPERATURE
hot water,🥵🚰,"[':hot_face:', ':potable_water:']",Direct,TEMPERATURE
hot water,♨️💧,"[':hot_springs:', ':droplet:']",Direct,TEMPERATURE
hot water,🔥💦,"[':fire:', ':sweat_droplets:']",Direct,TEMPERATURE
hot water,♨️💧🚰,"[':hot_springs:', ':droplet:', ':potable_water:']",Direct,TEMPERATURE
hot water,♨️🚰,"[':hot_springs:', ':potable_water:']",Direct,TEMPERATURE
hot water,♨️💧,"[':hot_springs:', ':droplet:']",Direct,TEMPERATURE
hot water,📛💦,"[':name_badge:', ':sweat_droplets:']",Direct,TEMPERATURE
hot stove,🌡️♨️🍳,"[':thermometer:', ':hot_springs:', ':cooking:']",Direct,TEMPERATURE
hot stove,♨️🍳,"[':hot_springs:', ':cooking:']",Direct,TEMPERATURE
hot stove,♨️🎛🔥,"[':hot_springs:', ':control_knobs:', ':fire:']",Direct,TEMPERATURE
hot stove,🔥🍳,"[':fire:', ':cooking:']",Direct,TEMPERATURE
hot stove,🥵🍳🔥,"[':hot_face:', ':cooking:', ':fire:']",Direct,TEMPERATURE
hot stove,♨️🔥,"[':hot_springs:', ':fire:']",Direct,TEMPERATURE
hot stove,🔥♨️,"[':fire:', ':hot_springs:']",Direct,TEMPERATURE
hot stove,📛🌡️🫕,"[':name_badge:', ':thermometer:', ':fondue:']",Direct,TEMPERATURE
hot topic,🔥🔊🗣️🗣️🤔🤔👍👎,"[':fire:', ':speaker_high_volume:', ':speaking_head:', ':speaking_head:', ':thinking_face:', ':thinking_face:', ':thumbs_up:', ':thumbs_down:']",Metaphorical,EMOTIONALITY
hot topic,🤩💬,"[':star-struck:', ':speech_balloon:']",Metaphorical,EMOTIONALITY
hot topic,☀️🎙🗣,"[':sun:', ':studio_microphone:', ':speaking_head:']",Direct,EMOTIONALITY
hot topic,🔥🔥🔥🔥📰,"[':fire:', ':fire:', ':fire:', ':fire:', ':newspaper:']",Direct,EMOTIONALITY
hot topic,🔥💬,"[':fire:', ':speech_balloon:']",Direct,EMOTIONALITY
hot topic,🔥🗣️,"[':fire:', ':speaking_head:']",Direct,EMOTIONALITY
hot topic,🔥🗣️,"[':fire:', ':speaking_head:']",Direct,EMOTIONALITY
hot topic,🥵💬,"[':hot_face:', ':speech_balloon:']",Direct,EMOTIONALITY
hot merchandise,🔥👀✋🤚🙏🥺💰,"[':fire:', ':eyes:', ':raised_hand:', ':raised_back_of_hand:', ':folded_hands:', ':pleading_face:', ':money_bag:']",Metaphorical,LEGALITY
hot merchandise,🔥🔥👕🥿🕶️,"[':fire:', ':fire:', ':t-shirt:', ':flat_shoe:', ':sunglasses:']",Direct,LEGALITY
hot merchandise,🔥🎁🎁,"[':fire:', ':wrapped_gift:', ':wrapped_gift:']",Direct,LEGALITY
hot merchandise,🔥🏷,"[':fire:', ':label:']",Direct,LEGALITY
hot merchandise,🔥🛍️🧸👕👗✏️📔,"[':fire:', ':shopping_bags:', ':teddy_bear:', ':t-shirt:', ':dress:', ':pencil:', ':notebook_with_decorative_cover:']",Direct,LEGALITY
hot merchandise,🔥📱,"[':fire:', ':mobile_phone:']",Direct,LEGALITY
hot merchandise,🗨️👕,"[':left_speech_bubble:', ':t-shirt:']",Metaphorical,LEGALITY
hot merchandise,👍🧸👕,"[':thumbs_up:', ':teddy_bear:', ':t-shirt:']",Direct,LEGALITY
hot temper,"🔥,😐😡","[':fire:', ',', ':neutral_face:', ':pouting_face:']",Direct,EMOTIONALITY
hot temper,😤🤬🙅‍♂️🙅‍♂️,"[':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:', ':man_gesturing_NO:', ':man_gesturing_NO:']",Metaphorical,EMOTIONALITY
hot temper,😡😡,"[':pouting_face:', ':pouting_face:']",Reduplication,EMOTIONALITY
hot temper,😡😤🤬,"[':pouting_face:', ':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:']",Semantic list,EMOTIONALITY
hot temper,😡😤,"[':pouting_face:', ':face_with_steam_from_nose:']",Semantic list,EMOTIONALITY
hot temper,🔥😡,"[':fire:', ':pouting_face:']",Direct,EMOTIONALITY
hot temper,💢🤬,"[':anger_symbol:', ':face_with_symbols_on_mouth:']",Metaphorical,EMOTIONALITY
hot temper,😡🤬,"[':pouting_face:', ':face_with_symbols_on_mouth:']",Semantic list,EMOTIONALITY
hot argument,🔥🗣️✖️🗣️✔️📢,"[':fire:', ':speaking_head:', ':multiply:', ':speaking_head:', ':check_mark:', ':loudspeaker:']",Direct,EMOTIONALITY
hot argument,🙅🙅‍♂️😤🗯️,"[':person_gesturing_NO:', ':man_gesturing_NO:', ':face_with_steam_from_nose:', ':right_anger_bubble:']",Metaphorical,EMOTIONALITY
hot argument,😡🤬🗣,"[':pouting_face:', ':face_with_symbols_on_mouth:', ':speaking_head:']",Direct,EMOTIONALITY
hot argument,🤬🗣📣,"[':face_with_symbols_on_mouth:', ':speaking_head:', ':megaphone:']",Direct,EMOTIONALITY
hot argument,🤬💬😡,"[':face_with_symbols_on_mouth:', ':speech_balloon:', ':pouting_face:']",Direct,EMOTIONALITY
hot argument,🔥🤬,"[':fire:', ':face_with_symbols_on_mouth:']",Direct,EMOTIONALITY
hot argument,💢🗣️,"[':anger_symbol:', ':speaking_head:']",Direct,EMOTIONALITY
hot argument,🤬💬,"[':face_with_symbols_on_mouth:', ':speech_balloon:']",Direct,EMOTIONALITY
hot forehead,"☀️, 🤒🌡️😷😴🥶","[':sun:', ',', ':face_with_thermometer:', ':thermometer:', ':face_with_medical_mask:', ':sleeping_face:', ':cold_face:']",Metaphorical,TEMPERATURE
hot forehead,🥴🤒👨‍⚕️,"[':woozy_face:', ':face_with_thermometer:', ':man_health_worker:']",Metaphorical,TEMPERATURE
hot forehead,🔥🤒🌡,"[':fire:', ':face_with_thermometer:', ':thermometer:']",Metaphorical,TEMPERATURE
hot forehead,🥵🤒🤒,"[':hot_face:', ':face_with_thermometer:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE
hot forehead,🌡️🤒,"[':thermometer:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE
hot forehead,♨️🤯,"[':hot_springs:', ':exploding_head:']",Metaphorical,TEMPERATURE
hot forehead,🩺🤒,"[':stethoscope:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE
hot forehead,🤒🤕,"[':face_with_thermometer:', ':face_with_head-bandage:']",Metaphorical,TEMPERATURE
bright future,🎇🔮,"[':sparkler:', ':crystal_ball:']",Direct,AUSPICIOUSNESS
bright future,🔆🔮,"[':bright_button:', ':crystal_ball:']",Direct,AUSPICIOUSNESS
bright future,🌟🎓,"[':glowing_star:', ':graduation_cap:']",Metaphorical,AUSPICIOUSNESS
bright future,😎👨‍🔬👩‍⚕️🧑‍💻,"[':smiling_face_with_sunglasses:', ':man_scientist:', ':woman_health_worker:', ':technologist:']",Semantic list,AUSPICIOUSNESS
bright future,☀️🔮,"[':sun:', ':crystal_ball:']",Direct,AUSPICIOUSNESS
bright future,👨‍🔬👩‍🎓👨‍⚕️,"[':man_scientist:', ':woman_student:', ':man_health_worker:']",Semantic list,AUSPICIOUSNESS
bright future,☀️🌫,"[':sun:', ':fog:']",Direct,AUSPICIOUSNESS
bright future,⏳⏩👍👍,"[':hourglass_not_done:', ':fast-forward_button:', ':thumbs_up:', ':thumbs_up:']",Metaphorical,AUSPICIOUSNESS
bright sun,🎇☀️,"[':sparkler:', ':sun:']",Direct,LUMINOSITY
bright sun,🔆☀️,"[':bright_button:', ':sun:']",Direct,LUMINOSITY
bright sun,🌟🌤🌇🌅,"[':glowing_star:', ':sun_behind_small_cloud:', ':sunset:', ':sunrise:']",Semantic list,LUMINOSITY
bright sun,☀️🔆,"[':sun:', ':bright_button:']",Direct,LUMINOSITY
bright sun,✨☀️,"[':sparkles:', ':sun:']",Direct,LUMINOSITY
bright sun,☀️🌟,"[':sun:', ':glowing_star:']",Direct,LUMINOSITY
bright sun,☀️☀️,"[':sun:', ':sun:']",Reduplication,LUMINOSITY
bright sun,☀️☀️,"[':sun:', ':sun:']",Reduplication,LUMINOSITY
bright dress,🎇👗,"[':sparkler:', ':dress:']",Direct,COLOR
bright dress,🔆👗,"[':bright_button:', ':dress:']",Direct,COLOR
bright dress,✨👗,"[':sparkles:', ':dress:']",Direct,COLOR
bright dress,🔆👗💃,"[':bright_button:', ':dress:', ':woman_dancing:']",Direct,COLOR
bright dress,☀️🎨👗,"[':sun:', ':artist_palette:', ':dress:']",Direct,COLOR
bright dress,👗✨,"[':dress:', ':sparkles:']",Direct,COLOR
bright dress,☀️👗,"[':sun:', ':dress:']",Direct,COLOR
bright dress,👗✨,"[':dress:', ':sparkles:']",Direct,COLOR
bright room,🎇🏫,"[':sparkler:', ':school:']",Direct,LIGHT
bright room,🔆🚹🚺,"[':bright_button:', ':men’s_room:', ':women’s_room:']",Direct,LIGHT
bright room,✨🏠,"[':sparkles:', ':house:']",Direct,LIGHT
bright room,💡🕯️🏠,"[':light_bulb:', ':candle:', ':house:']",Direct,LIGHT
bright room,☀️🏫,"[':sun:', ':school:']",Direct,LIGHT
bright room,💡💒,"[':light_bulb:', ':wedding:']",Direct,LIGHT
bright room,☀️,[':sun:'],Single,LIGHT
bright room,☀️🏫,"[':sun:', ':school:']",Direct,LIGHT
dark shadow,🕶️🕴️,"[':sunglasses:', ':person_in_suit_levitating:']",Metaphorical,LIGHT
dark shadow,⚫👥,"[':black_circle:', ':busts_in_silhouette:']",Metaphorical,LIGHT
dark shadow,🕶🕶👤,"[':sunglasses:', ':sunglasses:', ':bust_in_silhouette:']",Metaphorical,LIGHT
dark shadow,❌💡🧍,"[':cross_mark:', ':light_bulb:', ':person_standing:']",Metaphorical,LIGHT
dark shadow,🌑👤,"[':new_moon:', ':bust_in_silhouette:']",Metaphorical,LIGHT
dark shadow,🌑,[':new_moon:'],Single,LIGHT
dark shadow,🌚,[':new_moon_face:'],Single,LIGHT
dark shadow,🌑🚹,"[':new_moon:', ':men’s_room:']",Metaphorical,LIGHT
dark day,🕶️🌅,"[':sunglasses:', ':sunrise:']",Direct,LIGHT
dark day,⚫📆,"[':black_circle:', ':tear-off_calendar:']",Direct,LIGHT
dark day,🌪🌫🌫,"[':tornado:', ':fog:', ':fog:']",Metaphorical,LIGHT
dark day,⛈️🌫️🌑,"[':cloud_with_lightning_and_rain:', ':fog:', ':new_moon:']",Metaphorical,LIGHT
dark day,🌑📆,"[':new_moon:', ':tear-off_calendar:']",Direct,LIGHT
dark day,😈👣,"[':smiling_face_with_horns:', ':footprints:']",Metaphorical,LIGHT
dark day,🌑,[':new_moon:'],Single,LIGHT
dark day,🌑🌃,"[':new_moon:', ':night_with_stars:']",Direct,LIGHT
dark glass,🕶️🥛,"[':sunglasses:', ':glass_of_milk:']",Direct,COLOR
dark glass,⚫🥛,"[':black_circle:', ':glass_of_milk:']",Direct,COLOR
dark glass,🕶🕶,"[':sunglasses:', ':sunglasses:']",Reduplication,COLOR
dark glass,🕶️,[':sunglasses:'],Single,COLOR
dark glass,🌑🍷,"[':new_moon:', ':wine_glass:']",Direct,COLOR
dark glass,👿,[':angry_face_with_horns:'],Single,COLOR
dark glass,🌃,[':night_with_stars:'],Single,COLOR
dark glass,🕶️,[':sunglasses:'],Single,COLOR
dark undercurrent,🕶️🌊,"[':sunglasses:', ':water_wave:']",Direct,EVIL
dark undercurrent,⚫🌊,"[':black_circle:', ':water_wave:']",Direct,EVIL
dark undercurrent,⚫️⛈,"[':black_circle:', '', ':cloud_with_lightning_and_rain:']",Direct,EVIL
dark undercurrent,🌑🌊💦,"[':new_moon:', ':water_wave:', ':sweat_droplets:']",Direct,EVIL
dark undercurrent,🌑🔞🌊,"[':new_moon:', ':no_one_under_eighteen:', ':water_wave:']",Direct,EVIL
dark undercurrent,👿😱😨,"[':angry_face_with_horns:', ':face_screaming_in_fear:', ':fearful_face:']",Semantic list,EVIL
dark undercurrent,♠️👿,"[':spade_suit:', ':angry_face_with_horns:']",Metaphorical,EVIL
dark undercurrent,😈📈,"[':smiling_face_with_horns:', ':chart_increasing:']",Metaphorical,EVIL
dark corner,🕶️🗳️,"[':sunglasses:', ':ballot_box_with_ballot:']",Direct,LIGHT
dark corner,⚫🧱,"[':black_circle:', ':brick:']",Direct,LIGHT
dark corner,🔦🚫🚫,"[':flashlight:', ':prohibited:', ':prohibited:']",Metaphorical,LIGHT
dark corner,🌑❌💡,"[':new_moon:', ':cross_mark:', ':light_bulb:']",Metaphorical,LIGHT
dark corner,🌑🏫🤫㊙️,"[':new_moon:', ':school:', ':shushing_face:', ':Japanese_secret_button:']",Metaphorical,LIGHT
dark corner,😨👹,"[':fearful_face:', ':ogre:']",Metaphorical,LIGHT
dark corner,🌑🪃,"[':new_moon:', ':boomerang:']",Direct,LIGHT
dark corner,🕶️🏠,"[':sunglasses:', ':house:']",Direct,LIGHT
dark purpose,🕶️👿,"[':sunglasses:', ':angry_face_with_horns:']",Metaphorical,EVIL
dark purpose,⚫😈,"[':black_circle:', ':smiling_face_with_horns:']",Metaphorical,EVIL
dark purpose,😈😈😈😈,"[':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:']",Reduplication,EVIL
dark purpose,🌑😵💀,"[':new_moon:', ':face_with_crossed-out_eyes:', ':skull:']",Metaphorical,EVIL
dark purpose,😈❓🤷‍♀️,"[':smiling_face_with_horns:', ':red_question_mark:', ':woman_shrugging:']",Metaphorical,EVIL
dark purpose,👿👹👺😏,"[':angry_face_with_horns:', ':ogre:', ':goblin:', ':smirking_face:']",Semantic list,EVIL
dark purpose,👿😈,"[':angry_face_with_horns:', ':smiling_face_with_horns:']",Reduplication,EVIL
dark purpose,🌑😈👹,"[':new_moon:', ':smiling_face_with_horns:', ':ogre:']",Metaphorical,EVIL
right bank,👉🏞️,"[':backhand_index_pointing_right:', ':national_park:']",Direct,POSITION
right bank,👉🏦,"[':backhand_index_pointing_right:', ':bank:']",Direct,POSITION
right bank,➡️🏦💰,"[':right_arrow:', ':bank:', ':money_bag:']",Direct,POSITION
right bank,✅🏦,"[':check_mark_button:', ':bank:']",Direct,POSITION
right bank,✔️🏦,"[':check_mark:', ':bank:']",Direct,POSITION
right bank,👉🏦,"[':backhand_index_pointing_right:', ':bank:']",Direct,POSITION
right bank,👍🏦💰💰💰,"[':thumbs_up:', ':bank:', ':money_bag:', ':money_bag:', ':money_bag:']",Direct,POSITION
right bank,👍🏦💸💹,"[':thumbs_up:', ':bank:', ':money_with_wings:', ':chart_increasing_with_yen:']",Direct,POSITION
right hand,✋👉,"[':raised_hand:', ':backhand_index_pointing_right:']",Direct,POSITION
right hand,👉🖐,"[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']",Direct,POSITION
right hand,➡️🖐,"[':right_arrow:', ':hand_with_fingers_splayed:']",Direct,POSITION
right hand,👉🖐,"[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']",Direct,POSITION
right hand,👉🤚,"[':backhand_index_pointing_right:', ':raised_back_of_hand:']",Direct,POSITION
right hand,👉👋,"[':backhand_index_pointing_right:', ':waving_hand:']",Direct,POSITION
right hand,👉✔️,"[':backhand_index_pointing_right:', ':check_mark:']",Metaphorical,POSITION
right hand,🤲🤚,"[':palms_up_together:', ':raised_back_of_hand:']",Metaphorical,POSITION
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION
right side,👉👉,"[':backhand_index_pointing_right:', ':backhand_index_pointing_right:']",Reduplication,POSITION
right side,➡️💁‍♀️,"[':right_arrow:', ':woman_tipping_hand:']",Semantic list,POSITION
right side,👉🧍,"[':backhand_index_pointing_right:', ':person_standing:']",Metaphorical,POSITION
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION
right side,👤👉,"[':bust_in_silhouette:', ':backhand_index_pointing_right:']",Metaphorical,POSITION
right side,➡️🧑‍🤝‍🧑👈,"[':right_arrow:', ':people_holding_hands:', ':backhand_index_pointing_left:']",Metaphorical,POSITION
right decision,✔️,[':check_mark:'],Single,CORRECTNESS
right decision,✔️💡👩👍,"[':check_mark:', ':light_bulb:', ':woman:', ':thumbs_up:']",Direct,CORRECTNESS
right decision,➡️🤝,"[':right_arrow:', ':handshake:']",Direct,CORRECTNESS
right decision,✅🧠,"[':check_mark_button:', ':brain:']",Direct,CORRECTNESS
right decision,👍,[':thumbs_up:'],Single,CORRECTNESS
right decision,✅,[':check_mark_button:'],Single,CORRECTNESS
right decision,🤔💭💡📈,"[':thinking_face:', ':thought_balloon:', ':light_bulb:', ':chart_increasing:']",Metaphorical,CORRECTNESS
right decision,🤔✅,"[':thinking_face:', ':check_mark_button:']",Metaphorical,CORRECTNESS
right answer,✔️,[':check_mark:'],Single,CORRECTNESS
right answer,✔️📄✍️,"[':check_mark:', ':page_facing_up:', ':writing_hand:']",Direct,CORRECTNESS
right answer,➡️✍️✅,"[':right_arrow:', ':writing_hand:', ':check_mark_button:']",Direct,CORRECTNESS
right answer,✅📝,"[':check_mark_button:', ':memo:']",Direct,CORRECTNESS
right answer,💯,[':hundred_points:'],Single,CORRECTNESS
right answer,✅,[':check_mark_button:'],Single,CORRECTNESS
right answer,🤔❓📝💡✏️✔️,"[':thinking_face:', ':red_question_mark:', ':memo:', ':light_bulb:', ':pencil:', ':check_mark:']",Metaphorical,CORRECTNESS
right answer,🙋‍♀️👍✅,"[':woman_raising_hand:', ':thumbs_up:', ':check_mark_button:']",Metaphorical,CORRECTNESS
right man,✔️👨,"[':check_mark:', ':man:']",Direct,APPROPRIATENESS
right man,✔️👨💕,"[':check_mark:', ':man:', ':two_hearts:']",Direct,APPROPRIATENESS
right man,➡️👨👌,"[':right_arrow:', ':man:', ':OK_hand:']",Direct,APPROPRIATENESS
right man,👍🕴️,"[':thumbs_up:', ':person_in_suit_levitating:']",Direct,APPROPRIATENESS
right man,👍👨,"[':thumbs_up:', ':man:']",Direct,APPROPRIATENESS
right man,👉👱🏻‍♂️,"[':backhand_index_pointing_right:', ':man_light_skin_tone_blond_hair:']",Direct,APPROPRIATENESS
right man,👩😍👨✔️,"[':woman:', ':smiling_face_with_heart-eyes:', ':man:', ':check_mark:']",Metaphorical,APPROPRIATENESS
right man,👩‍❤️‍💋‍👨👨‍👩‍👦‍👦,"[':kiss_woman_man:', ':family_man_woman_boy_boy:']",Metaphorical,APPROPRIATENESS
right road,👉🛣️,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS
right road,👉🛣️,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS
right road,➡️🛣️,"[':right_arrow:', ':motorway:']",Direct,CORRECTNESS
right road,✅🛣️,"[':check_mark_button:', ':motorway:']",Direct,CORRECTNESS
right road,✔️🛣️,"[':check_mark:', ':motorway:']",Direct,CORRECTNESS
right road,👉🛣,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS
right road,🚗🛣️✔️,"[':automobile:', ':motorway:', ':check_mark:']",Direct,CORRECTNESS
right road,🛣️↗️,"[':motorway:', ':up-right_arrow:']",Metaphorical,CORRECTNESS
right thing,✔️,[':check_mark:'],Single,RIGHTNESS
